model,parameters,mean_accuracy,sd_accuracy,mean_balanced_accuracy,mean_macro_f1,mean_log_loss,sd_log_loss,mean_brier,sd_brier
logistic_regression,"{""C"": 0.01, ""class_weight"": null}",0.5,0.07567467054548122,0.4266228232813055,0.39638816677813143,1.0091283496137529,0.07176067354117524,0.6027067942241094,0.051017559770236046
logistic_regression,"{""C"": 0.1, ""class_weight"": null}",0.49053030303030304,0.08572037486843452,0.42773726074983304,0.3991081242076421,1.045852035735423,0.1164918123990081,0.6230822307028452,0.07646327097176212
random_forest,"{""max_depth"": 6, ""min_samples_leaf"": 15, ""n_estimators"": 300}",0.4363636363636364,0.08824213026507807,0.4185925767954005,0.38491324781113273,1.047540938814421,0.07010198061830962,0.6306056906006774,0.05000132947557557
random_forest,"{""max_depth"": 12, ""min_samples_leaf"": 15, ""n_estimators"": 300}",0.43977272727272726,0.08968158011917597,0.41652370134412686,0.38675083965982127,1.0477540490237385,0.07230262073897548,0.6302242929770608,0.05148407754764169
random_forest,"{""max_depth"": null, ""min_samples_leaf"": 15, ""n_estimators"": 300}",0.43939393939393934,0.0894873837494504,0.4156908341630269,0.3842566093082443,1.048074176793261,0.07301332130112581,0.6304635325432038,0.051866170857086835
random_forest,"{""max_depth"": 6, ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.4276515151515151,0.09877034667349222,0.4108551146829811,0.37554613583867547,1.0564264060525697,0.07571090429578374,0.6372278150655994,0.05420731314626323
random_forest,"{""max_depth"": null, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.4246212121212121,0.08403415707102249,0.40422357567440564,0.3755784006098316,1.0569005825738795,0.07605503915326586,0.6361142451100732,0.054775342764013
random_forest,"{""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.4246212121212121,0.09931360216425193,0.4127328275549765,0.37236427051323073,1.0570677326884603,0.07487418964556283,0.63758424803381,0.05411918521548675
random_forest,"{""max_depth"": 12, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.4242424242424242,0.09174372230896108,0.4059559351663964,0.3735148598013627,1.0579290853190244,0.07668271303929475,0.6373633133866392,0.05566642845777527
random_forest,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.44545454545454544,0.07456927895959996,0.410984421076089,0.38314703569540265,1.059513995074679,0.06917465681086818,0.6363016587573764,0.050160329161752705
random_forest,"{""max_depth"": 12, ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.4401515151515151,0.078963873218362,0.4053868705202385,0.37160165138020396,1.0602612062959929,0.07363619555898128,0.6385190476586764,0.05307571115108204
logistic_regression,"{""C"": 0.01, ""class_weight"": ""balanced""}",0.42651515151515157,0.10671302313543271,0.427085788008445,0.3775587671430505,1.0859469111318396,0.11254212711558638,0.6557691268851172,0.0803174990314269
logistic_regression,"{""C"": 1.0, ""class_weight"": null}",0.48219696969696973,0.0928474692611994,0.42025780448966704,0.3932120978568379,1.086400445371698,0.18086971528554766,0.640288600330436,0.10089686630468847
logistic_regression,"{""C"": 10.0, ""class_weight"": null}",0.4761363636363636,0.09747442036894924,0.41461829499728814,0.38981876173410807,1.1088677944837513,0.21870343004503823,0.6497263498880578,0.11457691876544046
logistic_regression,"{""C"": 0.1, ""class_weight"": ""balanced""}",0.41515151515151516,0.10149288821905207,0.41656808359252473,0.3757544017326873,1.1394694606145248,0.19187241029922694,0.6814303641008036,0.12152041611942632
hist_gradient_boosting,"{""l2_regularization"": 10.0}",0.4537878787878788,0.07082168515471987,0.3980280383489906,0.37469971602748353,1.1507089033002023,0.14424808524616084,0.6804232039839956,0.08373581876947833
logistic_regression,"{""C"": 1.0, ""class_weight"": ""balanced""}",0.41477272727272724,0.10071769545688129,0.41402749634559877,0.38037313567427394,1.1877407118620529,0.27545448404405276,0.6966759456476984,0.1455394035681408
logistic_regression,"{""C"": 10.0, ""class_weight"": ""balanced""}",0.41515151515151516,0.09846117139627819,0.412533922568175,0.38477602576457803,1.213900648700038,0.3228973333571549,0.7053689378867778,0.15891951882895056
hist_gradient_boosting,"{""l2_regularization"": 1.0}",0.44696969696969696,0.07518724712605761,0.4040855536948535,0.3859967202749904,1.2749509718155538,0.20247984234985425,0.7242662195684256,0.10411473243249557
hist_gradient_boosting,"{""l2_regularization"": 0.0}",0.4458333333333333,0.07447541902860141,0.4063062611324372,0.38877820461245693,1.4511377255506985,0.3300793210815888,0.7712293042812677,0.1412810853818175
