temperature,accuracy,balanced_accuracy,macro_f1,log_loss,brier
1.1,0.5,0.44098277574105293,0.43723509404264727,1.0085076472404322,0.6027035695817763
1.05,0.5,0.44098277574105293,0.43723509404264727,1.0086168082795512,0.6025966841745009
1.15,0.5,0.44098277574105293,0.43723509404264727,1.0087121590733483,0.602984072730016
1.0,0.5,0.44098277574105293,0.43723509404264727,1.0091283496137529,0.6027067942241094
1.2000000000000002,0.5,0.44098277574105293,0.43723509404264727,1.0091609359611724,0.603402894041133
1.25,0.5,0.44098277574105293,0.43723509404264727,1.0097993585097975,0.6039312490304025
0.95,0.5,0.44098277574105293,0.43723509404264727,1.0101563912920404,0.6030873347087489
1.3,0.5,0.44098277574105293,0.43723509404264727,1.0105842307905952,0.6045456272215786
1.35,0.5,0.44098277574105293,0.43723509404264727,1.0114812457834568,0.6052268018035244
0.9,0.5,0.44098277574105293,0.43723509404264727,1.0118488482450996,0.6038043181503617
1.4,0.5,0.44098277574105293,0.43723509404264727,1.0124630592280481,0.6059590357786004
1.4500000000000002,0.5,0.44098277574105293,0.43723509404264727,1.013507813851716,0.6067294429848282
0.8500000000000001,0.5,0.44098277574105293,0.43723509404264727,1.0143990760478592,0.604939562814622
1.5,0.5,0.44098277574105293,0.43723509404264727,1.0145980001588513,0.6075274718398178
1.55,0.5,0.44098277574105293,0.43723509404264727,1.0157195709304632,0.6083444868015226
1.6,0.5,0.44098277574105293,0.43723509404264727,1.0168612485253203,0.609173427978997
1.6500000000000001,0.5,0.44098277574105293,0.43723509404264727,1.0180139797950356,0.6100085334953671
0.8,0.5,0.44098277574105293,0.43723509404264727,1.0180622893798776,0.6065948510345334
1.7000000000000002,0.5,0.44098277574105293,0.43723509404264727,1.0191705048038466,0.6108451124240402
1.75,0.5,0.44098277574105293,0.43723509404264727,1.0203250138570987,0.6116793586205372
1.8,0.5,0.44098277574105293,0.43723509404264727,1.021472873469748,0.6125081977276934
1.85,0.5,0.44098277574105293,0.43723509404264727,1.0226104064594732,0.6133291611686443
0.75,0.5,0.44098277574105293,0.43723509404264727,1.0231790921145276,0.6088973117244645
1.9000000000000001,0.5,0.44098277574105293,0.43723509404264727,1.0237347147585598,0.6141402821554862
1.9500000000000002,0.5,0.44098277574105293,0.43723509404264727,1.0248435361103103,0.6149400097038941
2.0,0.5,0.44098277574105293,0.43723509404264727,1.0259351277683924,0.6157271374102804
0.7,0.5,0.44098277574105293,0.43723509404264727,1.030209829176589,0.6120064097741957
0.65,0.5,0.44098277574105293,0.43723509404264727,1.0397858013254035,0.616123024079821
0.6,0.5,0.44098277574105293,0.43723509404264727,1.0527874752997282,0.6215011837486479
0.55,0.5,0.44098277574105293,0.43723509404264727,1.0704672690939967,0.6284630555281517
0.5,0.5,0.44098277574105293,0.43723509404264727,1.0946486315434143,0.6374176258689348
