feature,importance
away_avg_goals_for_5,0.01595208070617903
home_goal_difference_5,0.013430012610340426
home_team_home_goal_difference_per_match,0.011160151324085705
elo_difference,0.009457755359394655
away_goals_against,0.007377049180327827
home_elo,0.00504413619167714
away_elo,0.004918032786885218
home_goals_for,0.004728877679697319
home_goals_against,0.004539722572509425
away_team_away_goal_difference_per_match,0.004098360655737649
away_team_away_matches,0.003909205548549765
away_form_points_5,0.003846153846153799
away_matches_in_window_5,0.0037200504413618775
home_matches_in_window_5,0.0035308953341739724
away_matches_played,0.003404791929382056
home_rest_days,0.0034047919293820504
away_losses,0.00334174022698609
home_avg_goals_for_5,0.003152585119798201
away_goals_for,0.0027742749054224082
home_wins,0.002648171500630475
away_draws,0.0025851197982345252
away_team_away_win_rate,0.0020807061790667934
home_points,0.0017654476670869613
home_draws,0.0016393442622950449
away_goal_difference_5,0.0016393442622950449
home_avg_goals_against_5,0.0015762925598990785
away_avg_goals_against_5,0.0013240857503152292
home_losses,0.0011979823455232851
home_team_home_matches,0.0011349306431273297
home_team_home_win_rate,0.0011349306431273133
home_matches_played,0.0009457755359394305
away_points,0.0008827238335434529
rest_days_difference,0.0006935687263555868
away_rest_days,0.00037831021437575996
away_wins,0.0002522068095838437
home_form_points_5,-0.0002522068095838936
